onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence_lvl	RT_confidence
15	6	1	1	1	2	1	2.127	2	0	4	0.854
21	6	1	2	2	1	2	1.689	2	1	3	1.754
27	6	1	3	2	1	2	1.8	1	0	4	0.864
33	6	1	4	2	2	2	1.1	2	1	4	0.664
39	6	1	5	1	1	1	1.479	2	0	1	2.291
45	6	1	6	2	2	1	1.631	2	1	3	1.087
51	6	1	7	1	2	2	1.255	1	1	4	0.441
57	6	1	8	1	2	1	2.364	1	1	4	0.427
63	6	1	9	2	1	2	1.897	2	1	4	0.535
69	6	1	10	2	2	2	1.621	2	1	4	0.809
75	6	1	11	1	1	1	2.07	1	1	4	0.644
81	6	1	12	2	1	2	1.686	2	1	4	1.11
87	6	1	13	1	2	1	1.693	2	0	4	0.522
93	6	1	14	2	2	1	1.649	2	1	4	0.472
99	6	1	15	1	1	1	2.416	1	1	3	0.785
105	6	1	16	1	2	2	1.574	1	1	4	0.356
111	6	1	17	2	2	1	1.565	2	1	4	1.064
117	6	1	18	1	1	1	1.444	1	1	3	0.623
123	6	1	19	1	1	1	2.188	1	1	2	0.848
129	6	1	20	1	1	1	2.764	1	1	4	0.807
135	6	1	21	1	2	2	1.157	1	1	4	0.339
141	6	1	22	1	2	2	2.303	1	1	4	0.29
147	6	1	23	2	2	2	1.522	2	1	4	0.39
153	6	1	24	1	2	2	2.235	1	1	4	0.336
159	6	1	25	2	2	2	1.383	2	1	4	0.396
165	6	1	26	2	2	2	1.604	1	0	2	1.998
171	6	1	27	1	1	2	2.547	1	1	3	0.606
177	6	1	28	2	1	1	3.809	2	1	3	0.679
183	6	1	29	1	1	2	2.187	1	1	3	0.451
189	6	1	30	1	1	2	1.377	1	1	3	0.491
195	6	1	31	2	1	2	2.699	1	0	2	1.682
201	6	1	32	2	1	1	3.422	2	1	2	1.287
207	6	1	33	2	1	1	3.067	1	0	4	0.5
213	6	1	34	1	1	2	3.166	1	1	4	0.456
219	6	1	35	2	1	1	2.383	2	1	4	0.89
225	6	1	36	2	1	1	3.057	2	1	4	1.152
231	6	1	37	1	2	1	2.187	1	1	4	0.4
237	6	1	38	2	2	2	1.557	2	1	4	0.495
243	6	1	39	2	1	1	3.844	2	1	4	0.348
249	6	1	40	2	2	2	1.341	2	1	4	0.508
255	6	1	41	2	1	2	3.797	2	1	4	0.503
261	6	1	42	2	1	2	2.756	2	1	4	0.482
267	6	1	43	2	1	2	3.652	1	0	1	0.933
273	6	1	44	1	1	2	2.112	2	0	2	1.492
279	6	1	45	2	1	2	1.361	2	1	4	0.808
285	6	1	46	2	1	1	3.249	2	1	3	1.172
291	6	1	47	1	1	1	3.161	2	0	 NaN	 NaN
297	6	1	48	1	2	1	2.797	2	0	2	1.643
303	6	1	49	2	2	1	1.584	2	1	4	0.797
309	6	1	50	1	1	2	2.122	1	1	3	1.749
315	6	1	51	2	2	1	2.957	2	1	4	0.556
321	6	1	52	2	1	1	2.715	2	1	4	0.883
327	6	1	53	2	2	2	2.77	2	1	4	0.854
333	6	1	54	2	2	2	1.781	2	1	4	0.773
339	6	1	55	2	1	1	3.367	1	0	3	0.707
345	6	1	56	1	1	2	2.235	1	1	4	0.428
351	6	1	57	1	2	1	1.248	2	0	4	0.636
357	6	1	58	1	2	2	2.576	1	1	2	2.095
363	6	1	59	1	2	2	2.119	2	0	1	1.618
369	6	1	60	2	1	2	3.633	2	1	4	0.362
375	6	1	61	2	2	1	1.352	2	1	4	0.475
381	6	1	62	1	1	1	1.922	2	0	4	0.629
387	6	1	63	2	2	1	1.33	2	1	1	1.904
393	6	1	64	2	2	1	1.551	2	1	4	1.165
399	6	1	65	2	1	2	2.043	2	1	2	1.045
405	6	1	66	2	2	2	1.387	1	0	2	2.862
411	6	1	67	2	1	1	3.056	2	1	4	0.482
417	6	1	68	2	1	1	4.053	1	0	3	0.49
423	6	1	69	1	2	2	2.977	2	0	3	0.72
429	6	1	70	1	1	2	2.312	1	1	4	1.231
435	6	1	71	2	1	1	2.41	1	0	3	0.609
441	6	1	72	1	2	1	4.504	2	0	 NaN	 NaN
447	6	1	73	1	1	2	2.281	1	1	4	0.463
453	6	1	74	1	2	2	2.345	1	1	3	0.43
459	6	1	75	1	1	1	2.077	1	1	3	0.417
465	6	1	76	1	2	2	1.834	1	1	3	0.361
471	6	1	77	1	2	1	1.963	2	0	3	0.546
477	6	1	78	1	2	1	1.919	1	1	3	0.613
483	6	1	79	2	1	2	2.182	2	1	4	1.011
489	6	1	80	1	1	2	2.214	1	1	4	0.55
495	6	1	81	2	2	1	2.424	1	0	3	1.655
501	6	1	82	1	1	2	2.94	2	0	2	1.006
507	6	1	83	1	2	1	3.035	2	0	3	0.45
513	6	1	84	2	2	2	2.334	2	1	4	0.681
519	6	1	85	1	1	1	1.72	1	1	4	0.362
525	6	1	86	1	1	1	1.46	1	1	4	0.373
531	6	1	87	1	2	2	2.909	1	1	3	0.561
537	6	1	88	1	2	2	2.229	2	0	4	0.678
543	6	1	89	2	2	1	1.156	2	1	4	0.631
549	6	1	90	1	2	1	1.619	2	0	4	0.584
555	6	1	91	2	2	1	1.11	2	1	4	0.574
561	6	1	92	1	1	2	1.447	1	1	4	0.66
567	6	1	93	1	2	1	1.385	2	0	4	0.799
573	6	1	94	1	1	1	1.626	1	1	4	0.771
579	6	1	95	2	2	2	1.758	2	1	4	0.509
585	6	1	96	2	2	1	1.466	2	1	4	0.393
