onset	duration	block	trial	task	stim cat	repetition	reaction_time	response	accuracy	confidence_lvl	RT_confidence
15	6	1	1	2	2	2	3.036	2	1	 NaN	 NaN
21	6	1	2	2	1	1	2.169	1	0	3	0.364
27	6	1	3	1	1	1	1.802	2	0	1	1.271
33	6	1	4	1	1	2	2.937	2	0	4	1.097
39	6	1	5	2	1	1	2.469	2	1	3	1.318
45	6	1	6	1	1	1	1.753	1	1	4	1.547
51	6	1	7	1	1	2	1.609	1	1	4	0.727
57	6	1	8	2	2	1	1.805	2	1	4	0.653
63	6	1	9	1	2	1	1.626	1	1	4	0.47
69	6	1	10	2	1	2	1.743	2	1	4	1.039
75	6	1	11	1	2	2	1.812	2	0	1	0.881
81	6	1	12	2	1	2	2.305	1	0	3	1.374
87	6	1	13	2	1	2	1.931	2	1	4	1.072
93	6	1	14	2	2	2	1.48	2	1	4	0.378
99	6	1	15	1	2	2	1.76	1	1	4	0.276
105	6	1	16	2	2	2	1.506	2	1	4	0.445
111	6	1	17	2	2	2	1.528	1	0	4	1.222
117	6	1	18	1	2	2	2.569	1	1	4	0.481
123	6	1	19	1	1	2	2.047	1	1	4	0.376
129	6	1	20	1	1	2	2.575	1	1	4	0.661
135	6	1	21	2	2	2	1.323	2	1	4	0.155
141	6	1	22	2	2	1	1.711	1	0	1	0.886
147	6	1	23	1	1	2	1.991	2	0	4	1.359
153	6	1	24	1	1	1	2.233	1	1	4	0.996
159	6	1	25	1	2	1	2.566	1	1	3	1.154
165	6	1	26	1	2	2	1.632	1	1	4	0.428
171	6	1	27	2	1	2	2.524	2	1	2	1.45
177	6	1	28	2	2	2	1.982	1	0	4	0.38
183	6	1	29	2	1	1	2.531	2	1	3	0.738
189	6	1	30	1	2	2	1.801	2	0	4	1.444
195	6	1	31	1	1	2	3.496	1	1	2	0.771
201	6	1	32	2	2	2	2.916	2	1	4	0.406
207	6	1	33	1	1	1	1.541	1	1	4	1.169
213	6	1	34	1	2	1	2.619	1	1	4	0.234
219	6	1	35	2	1	1	3.336	2	1	4	0.572
225	6	1	36	2	2	1	1.742	2	1	4	0.439
231	6	1	37	2	1	2	1.725	2	1	4	0.37
237	6	1	38	1	1	1	2.2	1	1	4	0.233
243	6	1	39	1	2	1	2.868	1	1	4	0.251
249	6	1	40	1	1	1	3.314	1	1	1	1.194
255	6	1	41	1	1	1	2.925	2	0	4	1.126
261	6	1	42	1	2	1	3.62	2	0	2	0.92
267	6	1	43	1	2	1	1.796	1	1	4	0.296
273	6	1	44	1	2	1	2.083	1	1	4	0.22
279	6	1	45	1	1	1	1.239	1	1	4	0.192
285	6	1	46	2	2	1	3.007	2	1	4	0.209
291	6	1	47	1	2	2	1.531	1	1	4	0.216
297	6	1	48	2	2	1	1.493	2	1	4	0.924
303	6	1	49	2	2	2	3.538	2	1	1	1.144
309	6	1	50	2	2	1	2.011	2	1	4	0.159
315	6	1	51	1	1	1	1.475	1	1	4	0.168
321	6	1	52	1	2	2	1.831	1	1	4	0.147
327	6	1	53	1	2	2	1.602	1	1	4	0.184
333	6	1	54	2	1	2	2.104	2	1	1	0.584
339	6	1	55	2	2	1	2.402	2	1	4	0.164
345	6	1	56	2	2	2	1.998	2	1	4	0.148
351	6	1	57	2	2	1	3.809	1	0	4	0.412
357	6	1	58	1	2	1	3.03	1	1	3	0.841
363	6	1	59	1	1	1	3.37	1	1	4	0.186
369	6	1	60	2	1	1	4.148	2	1	4	0.085
375	6	1	61	1	1	2	3.677	1	1	3	0.846
381	6	1	62	2	2	1	3.489	2	1	4	0.357
387	6	1	63	2	1	1	1.941	2	1	4	0.15
393	6	1	64	2	1	1	3.109	1	0	3	1.56
399	6	1	65	1	1	1	2.064	1	1	3	0.498
405	6	1	66	1	2	2	3.284	1	1	4	0.205
411	6	1	67	2	1	1	3.195	2	1	2	1.403
417	6	1	68	1	2	1	1.927	1	1	4	0.185
423	6	1	69	1	2	2	2.798	1	1	4	0.151
429	6	1	70	2	2	2	1.932	2	1	4	1.018
435	6	1	71	1	1	2	3.77	1	1	3	0.398
441	6	1	72	1	2	1	3.222	2	0	3	0.479
447	6	1	73	1	1	1	3.362	1	1	4	0.131
453	6	1	74	2	1	1	2.984	1	0	3	0.479
459	6	1	75	1	2	2	1.746	2	0	4	0.088
465	6	1	76	2	1	2	1.834	2	1	4	0.171
471	6	1	77	1	2	1	2.209	1	1	4	0.157
477	6	1	78	2	1	2	1.764	2	1	3	0.617
483	6	1	79	2	2	2	1.712	2	1	4	0.225
489	6	1	80	2	1	1	1.842	2	1	4	0.506
495	6	1	81	2	2	1	2.631	1	0	4	0.219
501	6	1	82	1	1	2	1.655	1	1	4	0.184
507	6	1	83	1	1	2	3.042	2	0	2	1.274
513	6	1	84	2	1	2	1.897	2	1	1	0.352
519	6	1	85	1	2	1	1.637	1	1	4	0.147
525	6	1	86	1	1	2	2.325	2	0	2	0.314
531	6	1	87	2	1	2	1.845	2	1	4	0.174
537	6	1	88	2	2	2	2.458	2	1	4	0.519
543	6	1	89	2	1	2	4.623	2	1	 NaN	 NaN
549	6	1	90	2	1	2	1.772	2	1	4	0.332
555	6	1	91	2	2	1	1.991	2	1	4	0.154
561	6	1	92	1	1	2	2.11	1	1	4	0.107
567	6	1	93	2	1	1	2.567	2	1	4	0.657
573	6	1	94	2	2	1	2.516	1	0	2	1.458
579	6	1	95	1	2	2	3.306	2	0	4	0.188
585	6	1	96	2	1	1	2.226	2	1	4	0.106
